date  bdrm  price unit  area
2026-04-28 1 983 A-110 630
2026-04-28 1 1018 A-306 580
2026-04-28 1 989 A-406 580
2026-04-28 1 1067 A-410 630
2026-04-28 1 1052 A-510 630
2026-04-28 1 1012 B-407 630
2026-04-28 1 1017 B-606 580
2026-05-07 1 1107 B-309 630
2026-05-07 1 1117 B-408 630
2026-05-07 1 1112 B-610 630
2026-05-12 1 1112 A-602 630
2026-05-23 1 1063 A-108 630
2026-06-02 1 1063 B-108 630
2026-06-04 1 1092 A-404 630
2026-06-04 1 1102 B-507 630
2026-06-05 1 1083 A-302 630
2026-06-07 1 1083 B-310 630
2026-07-03 1 1063 B-110 630
2026-04-28 2 1379 A-111 985
2026-04-28 2 1309 A-203 880
2026-04-28 2 1319 A-305 880
2026-04-28 2 1319 A-312 880
2026-04-28 2 1329 A-403 880
2026-04-28 2 1329 A-405 880
2026-04-28 2 1418 A-501 985
2026-04-28 2 1339 A-503 880
2026-04-28 2 1349 A-603 880
2026-04-28 2 1349 B-102 880
2026-04-28 2 1319 B-300 880
2026-04-28 2 1329 B-405 880
2026-04-28 2 1339 B-512 880
2026-05-07 2 1419 B-511 985
2026-05-08 2 1336 B-303 880
2026-06-03 2 1336 A-300 880
2026-06-06 2 1356 B-500 880
