num  date  bdrm  price unit  area
0: 2025-11-07 1 1330 01-203 643
1: 2026-01-02 1 1320 03-103 643
2: 2026-05-03 1 1340 01-301 643
3: 2026-05-07 1 1320 01-103 643
4: 2026-07-14 1 1413 01-303 643
5: 2025-03-17 2 1534 13-102 775
6: 2026-05-19 2 1603 13-304 775
7: 2025-09-12 3 1934 25-101 970
8: 2025-12-19 3 1969 25-303 970
9: 2026-02-06 3 1934 25-102 970
10: 2026-05-07 3 1813 25-203 970
11: 2026-05-30 3 1798 21-202 970
12: 2026-02-06 4 2201 07-203 1125
13: 2026-04-14 4 2054 07-202 1125
14: 2026-05-01 4 2045 07-103 1125
15: 2026-05-28 4 2064 07-304 1125
