num  date  bdrm  price unit  area
0: 2026-03-06 0 992 1-213 565
1: 2026-04-06 0 1026 1-424 565
2: 2026-04-09 0 1011 1-423 565
3: 2026-04-24 0 996 1-123 565
4: 2025-11-19 1 1332 1-315 765
5: 2026-01-20 1 1278 1-418 765
6: 2026-03-06 1 1278 1-420 765
7: 2026-03-13 1 1229 1-309 780
8: 2026-04-03 1 1239 1-433 780
9: 2026-04-07 1 1161 1-102 635
10: 2026-04-08 1 1278 1-334 780
11: 2026-04-09 1 1279 1-328 780
12: 2026-04-09 1 1288 1-409 780
13: 2026-04-24 1 1205 1-205 780
14: 2026-04-30 1 1284 1-211 780
15: 2026-05-01 1 1294 1-325 780
16: 2026-05-10 1 1338 1-517 765
17: 2026-05-13 1 1275 1-107 780
18: 2026-05-19 1 1294 1-303 780
19: 2026-05-26 1 1279 1-322 745
20: 2026-05-29 1 1294 1-333 780
21: 2026-05-30 1 1314 1-132 790
22: 2026-06-02 1 1338 1-408 780
23: 2026-06-05 1 1314 1-511 780
24: 2026-06-22 1 1289 1-434 780
25: 2025-06-19 2 1287 3-305 730
26: 2026-04-01 2 1253 6-204 730
27: 2026-04-07 2 1267 7-203 730
28: 2026-04-17 2 1292 2-205 730
29: 2026-04-17 2 1417 7-201 905
30: 2026-05-02 2 1347 2-403 730
31: 2026-06-13 2 1337 2-304 730
32: 2026-06-22 2 1239 4-305 730
33: 2026-07-05 2 1322 3-402 730
