date  bdrm  price unit  area
2026-07-15 1 1323 1-429 770
2026-07-15 1 1317 1-225 780
2026-07-15 1 1258 1-107 780
2026-07-15 1 1273 1-405 780
2026-07-15 1 1323 1-409 780
2026-07-15 1 1298 1-511 780
2026-07-15 1 1298 1-132 790
2026-07-22 1 1313 1-306 780
2026-07-26 1 1303 1-207 780
2026-07-30 1 1348 1-110 790
2026-08-12 1 1296 1-308 780
2026-10-05 1 1348 1-106 790
2026-07-15 2 1264 2-304 730
2026-07-20 2 1268 3-201 730
2026-08-01 2 1299 6-102 730
2026-08-06 2 1296 6-201 730
2026-08-24 2 1473 7-205 905
