num  date  bdrm  price unit  area
0: 2026-02-27 1 1815 1309 1232
1: 2025-08-02 2 2120 612 1456
2: 2025-11-22 2 2120 403 1456
3: 2025-12-01 2 2120 205 1456
4: 2025-12-03 2 2440 608 1556
5: 2025-12-29 2 2086 213 1456
6: 2026-01-02 2 2086 1106 1456
7: 2026-02-09 2 2120 1101 1456
8: 2026-02-16 2 2401 1308 1556
9: 2026-02-28 2 2086 102 1456
10: 2026-03-12 2 2086 1513 1456
11: 2026-03-16 2 2120 1103 1456
12: 2026-06-02 2 2116 1506 1456
13: 2026-06-09 2 2150 203 1456
14: 2026-06-09 2 2116 706 1456
15: 2026-06-15 2 2401 308 1556
16: 2026-06-21 2 2116 702 1456
17: 2026-06-27 2 2116 607 1456
18: 2026-06-29 2 2116 1306 1456
19: 2026-07-04 2 2169 1406 1456
20: 2026-07-07 2 2169 111 1456
