date  bdrm  price unit  area
2026-04-27 2 2094 102 1456
2026-04-27 2 2128 205 1456
2026-04-27 2 2094 213 1456
2026-04-27 2 2128 403 1456
2026-04-27 2 2427 608 1556
2026-04-27 2 2128 1101 1456
2026-04-27 2 2128 1103 1456
2026-04-27 2 2094 1106 1456
2026-04-27 2 2094 1211 1456
2026-04-27 2 2094 1212 1456
2026-04-27 2 2388 1308 1556
2026-06-09 2 2158 203 1456
2026-06-09 2 2124 706 1456
2026-06-15 2 2388 308 1556
2026-06-21 2 2124 702 1456
2026-06-27 2 2124 607 1456
2026-06-29 2 2124 1306 1456
2026-07-07 2 2178 111 1456
2026-07-07 2 2213 1210 1456
