date  bdrm  price unit  area
2026-05-07 1 1458 A-206 650
2026-05-07 1 1393 B-203 650
2026-05-07 1 1399 B-303 650
2026-05-07 1 1403 B-306 650
2026-05-07 1 1458 G-205 650
2026-05-07 1 1393 J-204 650
2026-05-23 1 1458 H-201 650
2026-05-26 1 1531 B-305 650
2026-07-07 1 1522 A-207 650
2026-07-11 1 1512 F-102 650
2026-07-14 1 1512 G-105 650
2026-05-07 2 1774 B-208 950
2026-05-07 2 1760 H-103 900
2026-05-24 2 1686 J-202 950
2026-06-15 2 1696 J-308 950
2026-06-30 2 1682 D-203 900
2026-07-15 2 1597 D-206 850
