num  date  bdrm  price unit  area
0: 2025-07-29 0 940 722 259
1: 2025-08-05 0 1200 1026 391
2: 2025-08-15 0 1037 1022 259
3: 2025-08-22 0 987 523 314
4: 2025-10-01 0 1063 923 314
5: 2026-02-02 0 905 223 314
6: 2026-02-10 0 916 323 314
7: 2026-03-06 0 1098 621 389
8: 2026-03-09 0 885 123 314
9: 2026-04-23 0 1012 822 259
10: 2026-05-01 0 1124 721 389
11: 2026-05-04 0 1145 726 391
12: 2025-07-11 1 1199 724 523
13: 2026-03-13 1 1276 225 614
14: 2026-04-22 1 1266 824 523
15: 2026-07-05 1 1393 725 614
