date  bdrm  price unit  area
2026-09-10 1 2041 02301 1045
2026-09-10 1 1644 05204 826
2026-09-10 1 1644 05304 826
2026-09-10 1 1709 07103 713
2026-09-10 1 1644 11306 884
2026-09-17 1 1580 07307 780
2026-09-25 1 1613 07303 713
2026-10-07 1 1654 09202 713
2026-11-02 1 1683 05210 884
2026-09-10 2 2287 08305 1207
2026-09-10 2 2287 09305 1207
2026-09-23 2 2513 03312 1403
2026-10-07 2 2513 04208 1403
2026-10-07 2 2287 07205 1207
2026-10-07 2 2287 09304 1207
2026-11-16 2 2244 10102 1207
2026-11-26 2 2132 07104 1207
